file,nct,name,our_hr,aact_param_type,aact_value,aact_lci,aact_uci,aact_method,verdict,notes
PPH_BUNDLE_NMA_REVIEW.html,NCT00872469,WOMAN,0.81,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
PPH_BUNDLE_NMA_REVIEW.html,NCT03475342,WOMAN-2,1.01,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
PPH_BUNDLE_NMA_REVIEW.html,NCT04341662,E-MOTIVE,0.4,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
PREGNANCY_HIV_VESTED_REVIEW.html,NCT03048422,IMPAACT 2010 / VESTED,1.03,Risk Difference (RD),6.5,2.0,10.7,,OK,
PRIMAQUINE_GAMETOCYTE_DR_REVIEW.html,NCT01365598,Eziefula 2014 Uganda,0.157,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
PRIMAQUINE_GAMETOCYTE_DR_REVIEW.html,NCT02174900,SAFEPRIM Burkina Faso,-6.0,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
PSA_BIOLOGICS_NMA_REVIEW.html,NCT01695239,SPIRIT-P1,2.04,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
PSA_BIOLOGICS_NMA_REVIEW.html,NCT03158285,DISCOVER-2,1.93,Difference in percentage,31.2,22.9,39.5,Cochran-Mantel-Haenszel,OK,
PSA_BIOLOGICS_NMA_REVIEW.html,NCT03895203,BE OPTIMAL,4.4,Odds Ratio (OR),7.082,4.583,10.943,"Regression, Logistic",OK,
PSA_BIOLOGICS_NMA_REVIEW.html,NCT03104400,SELECT-PsA 1,1.97,Response Rate Difference,34.5,28.2,40.7,Cochran-Mantel-Haenszel,OK,
RCC_1L_NMA_REVIEW.html,NCT03141177,CheckMate 9ER,0.51,Hazard Ratio (HR),0.51,0.41,0.64,Stratified Log-Rank,OK,
RCC_1L_NMA_REVIEW.html,NCT02853331,KEYNOTE-426,0.69,Hazard Ratio (HR),0.69,0.56,0.84,Log Rank,OK,
RCC_1L_NMA_REVIEW.html,NCT02811861,CLEAR,0.39,Stratified Hazard Ratio,0.65,0.53,0.8,Stratified Log-rank Test,OK,
RCC_1L_NMA_REVIEW.html,NCT02231749,CheckMate 214,0.63,Stratified Difference,16.0,9.8,22.2,DerSimonian and Laird Test,OK,
RESMETIROM_MASH_REVIEW.html,NCT03900429,MAESTRO-NASH,2.71,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
RISANKIZUMAB_CD_REVIEW.html,NCT03105128,ADVANCE,2.49,Adjusted Risk Difference,20.7,12.4,29.0,Cochran-Mantel-Haenszel,OK,
RISANKIZUMAB_CD_REVIEW.html,NCT03104413,MOTIVATE,3.15,Adjusted Risk Difference,22.1,13.1,31.0,Cochran-Mantel-Haenszel,OK,
RISANKIZUMAB_CD_REVIEW.html,NCT03105102,FORTIFY,1.79,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ROMOSOZUMAB_OP_REVIEW.html,NCT01575834,FRAME,0.27,Odds Ratio (OR),0.27,0.15,0.47,"Regression, Logistic",OK,
ROMOSOZUMAB_OP_REVIEW.html,NCT01631214,ARCH,0.52,Odds Ratio (OR),0.48,0.36,0.64,"Regression, Logistic",OK,
ROMOSOZUMAB_OP_REVIEW.html,NCT02186171,BRIDGE,0.056,LS Mean Difference,10.9,9.6,12.2,ANCOVA,OK,
ROTAVIRUS_VACCINE_AFRICA_NMA_REVIEW.html,NCT00241644,Rotarix Africa (Madhi 2010),0.388,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ROTAVIRUS_VACCINE_AFRICA_NMA_REVIEW.html,NCT00362648,RotaTeq Africa (Armah 2010),0.607,Efficacy = 1-Relative Risk,39.3,19.1,54.7,Exact binomial test,OK,
ROTAVIRUS_VACCINE_AFRICA_NMA_REVIEW.html,NCT02145000,Rotasiil ROSE Niger (Isanaka 2,0.353,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
RSV_VACCINE_OLDER_REVIEW.html,NCT05035212,RENOIR,0.33,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
RSV_VACCINE_OLDER_REVIEW.html,NCT04886596,AReSVi-006,0.17,VE,82.58,57.89,94.08,Poisson regression method,OK,
RSV_VACCINE_OLDER_REVIEW.html,NCT05127434,ConquerRSV,0.16,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
RUSFERTIDE_PV_REVIEW.html,NCT05210790,VERIFY,2.05,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
SAM_SIMPLIFIED_PROTOCOL_REVIEW.html,NCT04698070,OptiMA Niger (ComPAS vs Standa,0.96,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
SCD_DISEASE_MOD_NMA_REVIEW.html,NCT01179217,L-glutamine (Endari),0.75,Wilcoxon rank-sum test,0.5,,,Cochran-Mantel-Haenszel,OK,
SCHISTOSOMIASIS_ARPRAZIQUANTEL_REVIEW.html,NCT03845140,L-PZQ ODT (arpraziquantel) pha,0.98,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
SEMAGLUTIDE_OBESITY_REVIEW.html,NCT03552757,STEP-2,-6.2,Treatment difference,-6.21,-7.28,-5.15,ANCOVA,OK,
SEPSIS_RESUSCITATION_NMA_REVIEW.html,NCT01945983,CENSER (Permpikul 2019),0.72,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
SEPSIS_RESUSCITATION_NMA_REVIEW.html,NCT03434028,CLOVERS (Shapiro 2023),0.93,difference in mortality rate,-0.9,-4.4,2.6,Z-test,OK,
SEPSIS_RESUSCITATION_NMA_REVIEW.html,NCT03668236,CLASSIC (Meyhoff 2022),0.99,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
